candidate,rank,seed,e3_ca_rmsd_A,ligand_rmsd_A,native_contact_recall,contact_precision
s43_c28,37,43,60.69702357302434,13.035526401803546,0.04878048780487805,0.0049504950495049506
s42_c0,38,42,14.74127914367315,10.142122864022085,0.024390243902439025,0.002207505518763797
s44_c29,39,44,44.36208380132214,7.5388476689672315,0.024390243902439025,0.001834862385321101
s43_c20,40,43,57.74118357626056,12.35272440920238,0.0,0.0
s43_c6,41,43,38.52595623352227,10.570491397272827,0.0,0.0
s43_c29,42,43,53.12727279101053,10.214026115159035,0.0975609756097561,0.007285974499089253
s44_c27,43,44,50.62373348198652,10.386883952468013,0.07317073170731707,0.0055147058823529415
s42_c21,44,42,31.932567597413648,8.87530313734633,0.024390243902439025,0.0016207455429497568
s44_c20,45,44,31.932567597413648,8.87530313734633,0.024390243902439025,0.0016207455429497568
s44_c10,46,44,44.1590957483073,13.442072461051822,0.024390243902439025,0.0015698587127158557
s42_c17,47,42,58.70489361330807,20.78798174291277,0.0,0.0
s44_c24,48,44,48.22626424531607,13.48145721521906,0.0,0.0
s44_c23,49,44,20.482931942926246,15.052871096998528,0.0,0.0
s43_c24,50,43,41.76643457160022,10.407157167225765,0.3170731707317073,0.02066772655007949
s43_c27,51,43,39.62942522825198,13.440179481468611,0.024390243902439025,0.0015313935681470138
s42_c24,52,42,32.88544195656517,4.769124897826188,0.04878048780487805,0.003129890453834116
s42_c1,53,42,36.26622265548759,15.208058150936953,0.0975609756097561,0.0061823802163833074
s44_c4,54,44,23.342650057146585,12.397585176163684,0.04878048780487805,0.0027472527472527475
s43_c7,55,43,46.610019549848495,10.131402653111689,0.0,0.0
s43_c30,56,43,61.5820229288385,9.981808758221005,0.024390243902439025,0.0013089005235602095
s42_c8,57,42,37.9251269128229,7.264005775894352,0.0,0.0
s43_c17,58,43,41.166280288431594,16.064315871773793,0.0,0.0
s43_c19,59,43,48.07185976774254,16.166674069063,0.0,0.0
s44_c15,60,44,44.39315195624712,12.33117945220351,0.0,0.0
s42_c31,61,42,41.34979318614825,10.426202159395073,0.14634146341463414,0.00821917808219178
s44_c14,62,44,39.81839645560553,10.131209667904567,0.0,0.0
s44_c26,63,44,61.23202413362631,13.102626160323105,0.24390243902439024,0.01288659793814433
s43_c23,64,43,63.723526586595355,10.469740860371937,0.024390243902439025,0.0010395010395010396
s42_c5,65,42,52.23026774385995,10.686076477325257,0.024390243902439025,0.001040582726326743
s42_c18,66,42,69.53799373842277,15.954370815178658,0.14634146341463414,0.006042296072507553
s43_c31,67,43,56.51167241260037,7.474595850130675,0.12195121951219512,0.005611672278338945
s44_c1,68,44,60.847516066416496,13.673824294776328,0.0,0.0
s42_c22,69,42,60.80076177350949,15.642905691798084,0.43902439024390244,0.020022246941045607
s44_c11,70,44,31.600556177452564,15.49252686333204,0.024390243902439025,0.0010193679918450561
s43_c3,71,43,49.13216817256109,12.304577140471567,0.0,0.0
s43_c11,72,43,59.6219252283389,11.546235221175408,0.0,0.0
s42_c30,73,42,59.52308011553663,11.490934266087415,0.0,0.0
s43_c26,74,43,48.84879464667888,5.476408139202346,0.0,0.0
s44_c28,75,44,59.421812370179964,10.296259271601933,0.0975609756097561,0.0037735849056603774
