candidate,chemical_valid,contact_precision,dockq,dockq_fnat,dockq_irmsd_A,dockq_lrmsd_A,dockq_status,e3_anchor_local_rmsd_A,e3_ca_rmsd_A,e3_head_local_rmsd_A,e3_ligand_clashes_2A,e3_ligand_contacts_5A,e3_ligand_vdw_clashes,errors,joint_success,ligand_rmsd_A,ligand_success,ligand_symmetry_rmsd_A,native_contact_recall,no_ppi_fallback_success,pb_checks,pb_mol_fast_valid,poi_anchor_local_rmsd_A,poi_head_local_rmsd_A,poi_ligand_clashes_2A,poi_ligand_contacts_5A,poi_ligand_vdw_clashes,ppi_clashes_2A,ppi_contacts_5A,ppi_success,ppi_vdw_clashes,rank,seed,stereo_valid,steric_valid
s44_c22,True,0.0030959752321981426,0.05942332866590629,0.024390243902439025,8.015168115633944,23.013581191561226,assessed,0.34548399099849575,54.90683979486537,,34,24,78,[],,13.271607484644017,False,13.271607484644017,0.024390243902439025,,"{""mol_pred_loaded"": true, ""sanitization"": true, ""inchi_convertible"": true, ""all_atoms_connected"": true, ""no_radicals"": true, ""bond_lengths"": true, ""bond_angles"": true, ""internal_steric_clash"": true, ""aromatic_ring_flatness"": true, ""non-aromatic_ring_non-flatness"": true, ""double_bond_flatness"": true}",True,0.027981098997144734,,56,26,114,315,323,False,597,21,44,True,False
s42_c26,True,0.0,0.0263830585914711,0.0,12.429718259139266,32.292516432706115,assessed,0.014916675390030538,24.587051468105148,,39,25,64,[],,11.867754577933747,False,11.85258446773593,0.0,,"{""mol_pred_loaded"": true, ""sanitization"": true, ""inchi_convertible"": true, ""all_atoms_connected"": true, ""no_radicals"": true, ""bond_lengths"": true, ""bond_angles"": true, ""internal_steric_clash"": true, ""aromatic_ring_flatness"": true, ""non-aromatic_ring_non-flatness"": true, ""double_bond_flatness"": true}",True,0.017676026170667637,,34,20,56,336,323,False,627,22,42,True,False
s43_c1,True,0.0,0.043250345412872405,0.0,10.925331312629853,24.024777415660843,assessed,0.02006186025600629,32.25446723484833,,50,30,93,[],,12.909192341726069,False,12.894270518299525,0.0,,"{""mol_pred_loaded"": true, ""sanitization"": true, ""inchi_convertible"": true, ""all_atoms_connected"": true, ""no_radicals"": true, ""bond_lengths"": true, ""bond_angles"": true, ""internal_steric_clash"": true, ""aromatic_ring_flatness"": true, ""non-aromatic_ring_non-flatness"": true, ""double_bond_flatness"": true}",True,0.019688805057619437,,65,27,113,306,278,False,552,23,43,True,False
s43_c12,True,0.0,0.0356826663028904,0.0,10.191027589005614,27.738111128244554,assessed,0.027944723050494336,47.665959780842556,,35,24,76,[],,10.241562963565954,False,10.241562963565954,0.0,,"{""mol_pred_loaded"": true, ""sanitization"": true, ""inchi_convertible"": true, ""all_atoms_connected"": true, ""no_radicals"": true, ""bond_lengths"": true, ""bond_angles"": true, ""internal_steric_clash"": true, ""aromatic_ring_flatness"": true, ""non-aromatic_ring_non-flatness"": true, ""double_bond_flatness"": true}",True,0.02288154153510677,,32,22,63,354,338,False,646,24,43,True,False
s43_c18,True,0.002793296089385475,0.04353926556661405,0.024390243902439025,11.47432715593951,27.123557885119734,assessed,0.35010512574967795,33.62803606700736,,41,29,97,[],,13.606984397471829,False,13.592921831811092,0.024390243902439025,,"{""mol_pred_loaded"": true, ""sanitization"": true, ""inchi_convertible"": true, ""all_atoms_connected"": true, ""no_radicals"": true, ""bond_lengths"": true, ""bond_angles"": true, ""internal_steric_clash"": true, ""aromatic_ring_flatness"": true, ""non-aromatic_ring_non-flatness"": true, ""double_bond_flatness"": true}",True,0.03057349088510887,,54,22,107,348,358,False,656,25,43,True,False
s44_c7,True,0.0,0.029065623444032036,0.0,11.926451958576143,30.601921643382404,assessed,0.016372361999473485,52.81988596093457,,15,15,34,[],,11.303961906426961,False,11.303961906426961,0.0,,"{""mol_pred_loaded"": true, ""sanitization"": true, ""inchi_convertible"": true, ""all_atoms_connected"": true, ""no_radicals"": true, ""bond_lengths"": true, ""bond_angles"": true, ""internal_steric_clash"": true, ""aromatic_ring_flatness"": true, ""non-aromatic_ring_non-flatness"": true, ""double_bond_flatness"": true}",True,0.020765872835976716,,64,26,122,378,375,False,771,26,44,True,False
s42_c10,True,0.0,0.035124076733114164,0.0,9.006770907613513,29.145937662213676,assessed,0.016787926591085352,49.55390100692311,,26,24,54,[],,8.287360159974059,False,8.287360159974059,0.0,,"{""mol_pred_loaded"": true, ""sanitization"": true, ""inchi_convertible"": true, ""all_atoms_connected"": true, ""no_radicals"": true, ""bond_lengths"": true, ""bond_angles"": true, ""internal_steric_clash"": true, ""aromatic_ring_flatness"": true, ""non-aromatic_ring_non-flatness"": true, ""double_bond_flatness"": true}",True,0.016379739691627197,,19,20,44,418,351,False,735,27,42,True,False
s42_c25,True,0.015,0.08459461976942385,0.14634146341463414,10.969976800752198,27.179780728291245,assessed,0.018379519886564444,34.713571563045875,,2,17,13,[],,11.759510636795659,False,11.759510636795659,0.14634146341463414,,"{""mol_pred_loaded"": true, ""sanitization"": true, ""inchi_convertible"": true, ""all_atoms_connected"": true, ""no_radicals"": true, ""bond_lengths"": true, ""bond_angles"": true, ""internal_steric_clash"": true, ""aromatic_ring_flatness"": true, ""non-aromatic_ring_non-flatness"": true, ""double_bond_flatness"": true}",True,0.014142921565591467,,68,28,123,400,400,False,754,28,42,True,False
s44_c5,True,0.0,0.03677046310273429,0.0,11.582482306252354,26.41727408726668,assessed,0.3511247331004149,49.993072379430394,,52,24,101,[],,7.315514958988832,False,7.2889707956967,0.0,,"{""mol_pred_loaded"": true, ""sanitization"": true, ""inchi_convertible"": true, ""all_atoms_connected"": true, ""no_radicals"": true, ""bond_lengths"": true, ""bond_angles"": true, ""internal_steric_clash"": true, ""aromatic_ring_flatness"": true, ""non-aromatic_ring_non-flatness"": true, ""double_bond_flatness"": true}",True,0.018335673941282632,,39,18,66,390,420,False,781,29,44,True,False
s42_c11,True,0.024922118380062305,0.1318508780136125,0.1951219512195122,7.845287457665758,19.110090088329127,assessed,0.03469880675059934,41.15386246998745,,73,28,125,[],,11.36624115934752,False,11.36624115934752,0.1951219512195122,,"{""mol_pred_loaded"": true, ""sanitization"": true, ""inchi_convertible"": true, ""all_atoms_connected"": true, ""no_radicals"": true, ""bond_lengths"": true, ""bond_angles"": true, ""internal_steric_clash"": true, ""aromatic_ring_flatness"": true, ""non-aromatic_ring_non-flatness"": true, ""double_bond_flatness"": true}",True,0.015859275298251256,,54,24,101,361,321,False,691,30,42,True,False
s42_c28,True,0.0,0.027962768989144644,0.0,11.562906513313989,31.633719445470277,assessed,0.017461759658946974,39.11668142339558,,13,18,26,[],,8.558886682596304,False,8.536377607296586,0.0,,"{""mol_pred_loaded"": true, ""sanitization"": true, ""inchi_convertible"": true, ""all_atoms_connected"": true, ""no_radicals"": true, ""bond_lengths"": true, ""bond_angles"": true, ""internal_steric_clash"": true, ""aromatic_ring_flatness"": true, ""non-aromatic_ring_non-flatness"": true, ""double_bond_flatness"": true}",True,0.026662246276762856,,33,24,82,443,442,False,844,31,42,True,False
s42_c27,True,0.0,0.019900803110675613,0.0,13.865747595958846,37.798709823496175,assessed,0.01742467596498779,37.06607337474019,,59,20,122,[],,10.206649266842984,False,10.206649266842984,0.0,,"{""mol_pred_loaded"": true, ""sanitization"": true, ""inchi_convertible"": true, ""all_atoms_connected"": true, ""no_radicals"": true, ""bond_lengths"": true, ""bond_angles"": true, ""internal_steric_clash"": true, ""aromatic_ring_flatness"": true, ""non-aromatic_ring_non-flatness"": true, ""double_bond_flatness"": true}",True,0.017956762206914157,,46,20,83,410,470,False,761,32,42,True,False
s43_c16,True,0.014285714285714285,0.0871563300492948,0.14634146341463414,10.653019829775593,26.130767715616017,assessed,0.06600487431652455,49.14533813215041,,43,19,102,[],,12.255924768252095,False,12.255924768252095,0.14634146341463414,,"{""mol_pred_loaded"": true, ""sanitization"": true, ""inchi_convertible"": true, ""all_atoms_connected"": true, ""no_radicals"": true, ""bond_lengths"": true, ""bond_angles"": true, ""internal_steric_clash"": true, ""aromatic_ring_flatness"": true, ""non-aromatic_ring_non-flatness"": true, ""double_bond_flatness"": true}",True,0.015351823049731648,,69,34,132,412,420,False,810,33,43,True,False
s43_c22,True,0.0,0.03525896241019639,0.0,10.204629464443261,27.95522494978551,assessed,0.34764620416869507,69.20732968275954,,6,16,16,[],,14.614789801625784,False,14.614789801625784,0.0,,"{""mol_pred_loaded"": true, ""sanitization"": true, ""inchi_convertible"": true, ""all_atoms_connected"": true, ""no_radicals"": true, ""bond_lengths"": true, ""bond_angles"": true, ""internal_steric_clash"": true, ""aromatic_ring_flatness"": true, ""non-aromatic_ring_non-flatness"": true, ""double_bond_flatness"": true}",True,0.022979724658829134,,57,30,99,466,510,False,931,34,43,True,False
