candidate,chemical_valid,contact_precision,dockq,dockq_fnat,dockq_irmsd_A,dockq_lrmsd_A,dockq_status,e3_anchor_local_rmsd_A,e3_ca_rmsd_A,e3_head_local_rmsd_A,e3_ligand_clashes_2A,e3_ligand_contacts_5A,e3_ligand_vdw_clashes,errors,joint_success,ligand_rmsd_A,ligand_success,ligand_symmetry_rmsd_A,native_contact_recall,no_ppi_fallback_success,pb_checks,pb_mol_fast_valid,poi_anchor_local_rmsd_A,poi_head_local_rmsd_A,poi_ligand_clashes_2A,poi_ligand_contacts_5A,poi_ligand_vdw_clashes,ppi_clashes_2A,ppi_contacts_5A,ppi_success,ppi_vdw_clashes,rank,seed,stereo_valid,steric_valid
s44_c30,True,0.0,0.0627867421368027,0.0,9.382349641591578,19.23058578638467,assessed,0.04415419167372917,35.9852043137306,,1,12,4,[],,11.618277835136746,False,11.590981228946989,0.0,,"{""mol_pred_loaded"": true, ""sanitization"": true, ""inchi_convertible"": true, ""all_atoms_connected"": true, ""no_radicals"": true, ""bond_lengths"": true, ""bond_angles"": true, ""internal_steric_clash"": true, ""aromatic_ring_flatness"": true, ""non-aromatic_ring_non-flatness"": true, ""double_bond_flatness"": true}",True,0.044106839764296864,,75,27,118,139,149,False,282,21,44,True,False
s44_c28,True,0.007751937984496124,0.05452565331363372,0.06666666666666667,9.248645887808513,30.6815151512036,assessed,0.29631144475432025,46.538658672276604,,23,12,37,[],,9.126300003148492,False,9.100944448831646,0.06666666666666667,,"{""mol_pred_loaded"": true, ""sanitization"": true, ""inchi_convertible"": true, ""all_atoms_connected"": true, ""no_radicals"": true, ""bond_lengths"": true, ""bond_angles"": true, ""internal_steric_clash"": true, ""aromatic_ring_flatness"": true, ""non-aromatic_ring_non-flatness"": true, ""double_bond_flatness"": true}",True,0.043551963376316886,,47,17,78,148,129,False,266,22,44,True,False
s43_c20,True,0.0,0.02439291356525146,0.0,9.441906656282164,37.623823815832104,assessed,0.03292955372302121,55.528100052020825,,0,13,5,[],,11.136307234452847,False,11.121402088508262,0.0,,"{""mol_pred_loaded"": true, ""sanitization"": true, ""inchi_convertible"": true, ""all_atoms_connected"": true, ""no_radicals"": true, ""bond_lengths"": true, ""bond_angles"": true, ""internal_steric_clash"": true, ""aromatic_ring_flatness"": true, ""non-aromatic_ring_non-flatness"": true, ""double_bond_flatness"": true}",True,0.04415465926616969,,71,26,121,166,171,False,310,23,43,True,False
s42_c27,True,0.05063291139240506,0.31630562576709437,0.5333333333333333,4.749323174801887,12.253156588787972,assessed,0.0448103481351204,11.726925097920226,,37,23,98,[],,5.785942558384484,False,5.774654571045448,0.5333333333333333,,"{""mol_pred_loaded"": true, ""sanitization"": true, ""inchi_convertible"": true, ""all_atoms_connected"": true, ""no_radicals"": true, ""bond_lengths"": true, ""bond_angles"": true, ""internal_steric_clash"": true, ""aromatic_ring_flatness"": true, ""non-aromatic_ring_non-flatness"": true, ""double_bond_flatness"": true}",True,0.044667711102471364,,39,21,76,162,158,True,337,24,42,True,False
s42_c4,True,0.028089887640449437,0.14644219099488004,0.3333333333333333,7.988238077330396,30.530947431348135,assessed,0.30135322637649015,32.96841920218828,,29,19,53,[],,9.251763536647038,False,9.240677325535687,0.3333333333333333,,"{""mol_pred_loaded"": true, ""sanitization"": true, ""inchi_convertible"": true, ""all_atoms_connected"": true, ""no_radicals"": true, ""bond_lengths"": true, ""bond_angles"": true, ""internal_steric_clash"": true, ""aromatic_ring_flatness"": true, ""non-aromatic_ring_non-flatness"": true, ""double_bond_flatness"": true}",True,0.042826568109219365,,35,24,82,179,178,False,351,25,42,True,False
s42_c10,True,0.0,0.0592664291668086,0.0,9.064708696960908,20.14356093710629,assessed,0.037030903578172854,47.81786547083856,,0,11,4,[],,13.648467684582476,False,13.62784370856924,0.0,,"{""mol_pred_loaded"": true, ""sanitization"": true, ""inchi_convertible"": true, ""all_atoms_connected"": true, ""no_radicals"": true, ""bond_lengths"": true, ""bond_angles"": true, ""internal_steric_clash"": true, ""aromatic_ring_flatness"": true, ""non-aromatic_ring_non-flatness"": true, ""double_bond_flatness"": true}",True,0.04340392594366477,,74,24,133,177,183,False,341,26,42,True,False
s42_c24,True,0.023255813953488372,0.10530826654177898,0.2,6.120263478777341,33.86651377405612,assessed,0.05609626809393729,29.340007604588024,,88,26,179,[],,7.844974065409151,False,7.839095782737214,0.2,,"{""mol_pred_loaded"": true, ""sanitization"": true, ""inchi_convertible"": true, ""all_atoms_connected"": true, ""no_radicals"": true, ""bond_lengths"": true, ""bond_angles"": true, ""internal_steric_clash"": true, ""aromatic_ring_flatness"": true, ""non-aromatic_ring_non-flatness"": true, ""double_bond_flatness"": true}",True,0.04339183520989297,,66,21,111,102,129,False,197,27,42,True,False
s44_c7,True,0.0043859649122807015,0.03862194224928507,0.06666666666666667,11.510991330530425,46.37558240995592,assessed,0.16121231856607252,40.56339735150671,,11,20,26,[],,7.169576991553436,False,7.145613726777886,0.06666666666666667,,"{""mol_pred_loaded"": true, ""sanitization"": true, ""inchi_convertible"": true, ""all_atoms_connected"": true, ""no_radicals"": true, ""bond_lengths"": true, ""bond_angles"": true, ""internal_steric_clash"": true, ""aromatic_ring_flatness"": true, ""non-aromatic_ring_non-flatness"": true, ""double_bond_flatness"": true}",True,0.04355720055746266,,53,21,106,193,228,False,389,28,44,True,False
s43_c15,True,0.0,0.047343296044898724,0.0,11.427436626335506,22.479458812438985,assessed,0.2971087041608696,26.547540737250742,,19,14,38,[],,9.459325964619536,False,9.4499119236143,0.0,,"{""mol_pred_loaded"": true, ""sanitization"": true, ""inchi_convertible"": true, ""all_atoms_connected"": true, ""no_radicals"": true, ""bond_lengths"": true, ""bond_angles"": true, ""internal_steric_clash"": true, ""aromatic_ring_flatness"": true, ""non-aromatic_ring_non-flatness"": true, ""double_bond_flatness"": true}",True,0.04432987779383169,,50,23,104,197,141,False,335,29,43,True,False
s44_c29,True,0.0,0.019028960563123653,0.0,11.525823734906798,41.40900753608898,assessed,0.094132076866959,54.700351607311475,,6,11,11,[],,10.651084028977907,False,10.627244255059363,0.0,,"{""mol_pred_loaded"": true, ""sanitization"": true, ""inchi_convertible"": true, ""all_atoms_connected"": true, ""no_radicals"": true, ""bond_lengths"": true, ""bond_angles"": true, ""internal_steric_clash"": true, ""aromatic_ring_flatness"": true, ""non-aromatic_ring_non-flatness"": true, ""double_bond_flatness"": true}",True,0.043233376739329345,,63,25,111,204,225,False,409,30,44,True,False
