candidate,rank,seed,e3_ca_rmsd_A,ligand_rmsd_A,native_contact_recall,contact_precision
s44_c29,30,44,54.700351607311475,10.651084028977907,0.0,0.0
s44_c22,31,44,49.91522658415737,11.816734309699457,0.13333333333333333,0.0111731843575419
s43_c2,32,43,41.10827783095832,9.846698307193119,0.0,0.0
s42_c25,33,42,37.36338209905602,11.731105027677295,0.2,0.018404907975460124
s42_c3,34,42,53.40243193609559,11.490403030560659,0.0,0.0
s42_c14,35,42,47.872860489571046,12.75883968251429,0.2,0.013452914798206279
s43_c24,36,43,38.59478843243866,7.428801010770099,0.2,0.009523809523809525
s43_c25,37,43,28.1177839591182,6.8215756944948325,0.2,0.01195219123505976
s42_c29,38,42,57.288590062796956,11.70627954420401,0.0,0.0
s43_c29,39,43,41.163018207009365,8.857398566936247,0.0,0.0
s44_c9,40,44,46.069292650674804,11.220250669049484,0.2,0.008695652173913044
s43_c7,41,43,31.898421012208075,11.45919578435745,0.26666666666666666,0.018957345971563982
s43_c9,42,43,23.89874629487589,8.173848799451372,0.13333333333333333,0.006230529595015576
s42_c12,43,42,34.37376576768278,12.36389950084498,0.26666666666666666,0.016
s43_c10,44,43,49.49163407403901,13.454813942179523,0.3333333333333333,0.018867924528301886
s43_c17,45,43,52.56345939422016,12.958323351838686,0.0,0.0
s44_c17,46,44,22.965008377946916,7.655810649170587,0.06666666666666667,0.0034482758620689655
s44_c23,47,44,16.620587951478765,8.175074718233551,0.2,0.010033444816053512
s42_c13,48,42,31.505116677967443,12.016825209168438,0.0,0.0
s44_c16,49,44,26.613186259170785,11.567313426708186,0.06666666666666667,0.0037313432835820895
s44_c31,50,44,39.71517371827027,4.800238995675639,0.13333333333333333,0.0060790273556231
s43_c1,51,43,24.692756755575648,12.507533979162059,0.3333333333333333,0.01845018450184502
s42_c1,52,42,56.07839948351113,13.860859328338638,0.0,0.0
s44_c11,53,44,40.084033151801144,9.771594605815704,0.0,0.0
s44_c2,54,44,42.112019845447286,10.339649775619788,0.06666666666666667,0.0027247956403269754
s42_c5,55,42,36.25434703568386,10.921647092319112,0.0,0.0
s43_c6,56,43,32.44404669233395,9.413694729024737,0.0,0.0
s43_c0,57,43,21.698309261268147,11.669100402314953,0.0,0.0
s44_c0,58,44,39.66427827779727,14.846207059795967,0.0,0.0
s42_c6,59,42,45.2607722272677,9.139104660322452,0.13333333333333333,0.005263157894736842
s42_c2,60,42,45.815459724924864,13.617414692377748,0.13333333333333333,0.006230529595015576
s43_c11,61,43,27.01796137414972,12.415479350557476,0.06666666666666667,0.003125
s42_c7,62,42,41.898420290905186,5.577696330307496,0.0,0.0
s43_c12,63,43,40.439235410988594,15.935644842142269,0.06666666666666667,0.002840909090909091
s43_c8,64,43,38.578883014264484,12.218177428358263,0.3333333333333333,0.011086474501108648
s42_c19,65,42,36.92299314731991,12.59816087395146,0.2,0.007751937984496124
s42_c18,66,42,53.20355821440118,12.043023983426606,0.0,0.0
s44_c12,67,44,42.11245847812179,10.237782376733245,0.0,0.0
s43_c14,68,43,44.64736534654004,7.023714553625565,0.06666666666666667,0.002325581395348837
s43_c19,69,43,43.216353376760566,9.28681981700315,0.26666666666666666,0.009501187648456057
s43_c21,70,43,24.42716243472088,13.536186865916498,0.0,0.0
s42_c17,71,42,41.15036239510541,9.73947987974789,0.2,0.006944444444444444
s44_c14,72,44,45.645312604429904,8.140363297748607,0.2,0.006928406466512702
s44_c6,73,44,40.385494835534104,12.013666625462433,0.0,0.0
s44_c18,74,44,46.252024064984596,7.7005464441757905,0.0,0.0
s44_c4,75,44,57.81781927315133,13.36299476747746,0.13333333333333333,0.0036496350364963502
s44_c1,76,44,34.2784102298338,13.076426837553155,0.0,0.0
s44_c24,77,44,54.04411513804981,12.11500839217235,0.13333333333333333,0.003663003663003663
s44_c10,78,44,27.01452789547351,14.015158940598662,0.0,0.0
s44_c19,79,44,55.408349422842896,11.01406186117108,0.13333333333333333,0.0031545741324921135
